id,y
0,0.83574
1,0.041958988
2,0.036223173
3,0.007246375
4,0.061682373
5,0.016114235
6,0.032422394
7,0.15212214
8,0.015879124
9,0.009115964
10,0.0016957223
11,0.046184212
12,0.023550302
13,0.12675065
14,0.028437793
15,0.007810086
16,0.0424397
17,0.005531043
18,0.06669983
19,0.05101472
20,0.13034889
21,0.07943651
22,0.010542661
23,0.011641949
24,0.101606935
25,0.62947476
26,0.0761641
27,0.0026747882
28,0.0116716325
29,0.0044119954
30,0.0060411096
31,0.0008419752
32,0.009748995
33,0.022044659
34,0.12349558
35,0.03903082
36,0.020617247
37,0.0016079247
38,0.024532586
39,0.08685702
40,0.022739232
41,0.086455375
42,0.009234697
43,0.16980752
44,0.040519595
45,0.17797413
46,0.035566628
47,0.094658524
48,0.25901192
49,0.01779747
50,0.06874898
51,0.07479647
52,0.0060077608
53,0.002208054
54,0.019149631
55,0.021587491
56,0.06007138
57,0.035823107
58,0.7833402
59,0.062752515
60,0.20076731
61,0.11552426
62,0.0058273077
63,0.07085195
64,0.08156687
65,0.75518674
66,0.15334323
67,0.13817278
68,0.0045206845
69,0.041309834
70,0.057573885
71,0.011011422
72,0.0010788441
73,0.008035749
74,0.04442522
75,0.059304982
76,0.25853795
77,0.004252702
78,0.044654787
79,0.0072585344
80,0.022801876
81,0.0102415085
82,0.10626638
83,0.0028919876
84,0.002126217
85,0.036326736
86,0.08641085
87,0.058702767
88,0.8185563
89,0.055720866
90,0.12102398
91,0.030512601
92,0.32540157
93,0.030458301
94,0.008554816
95,0.0671283
96,0.03810054
97,0.055707276
98,0.013256192
99,0.04517746
100,0.4001744
101,0.0067707896
102,0.010764569
103,0.04662487
104,0.0018110275
105,0.9482815
106,0.05592233
107,0.0055894256
108,0.0146381855
109,0.018612146
110,0.021896541
111,0.087768406
112,0.030821174
113,0.030586153
114,0.017085612
115,0.029584557
116,0.022815347
117,0.016694337
118,0.27658433
119,0.06711632
120,0.04580161
121,0.12450257
122,0.00977698
123,0.04196149
124,0.068703026
125,0.01401788
126,0.009164035
127,0.019477755
128,0.055285513
129,0.10702667
130,0.23017743
131,0.0059725344
132,0.04855463
133,0.027793854
134,0.005961001
135,0.01214087
136,0.040416896
137,0.010322899
138,0.070678055
139,0.029259413
140,0.22237763
141,0.0460639
142,0.017796695
143,0.05688402
144,0.016513348
145,0.09804937
146,0.0274522
147,0.012380689
148,0.05105865
149,0.051507235
150,0.0073997676
151,0.022640765
152,0.0040622056
153,0.0052309036
154,0.08311507
155,0.023624182
156,0.1263412
157,0.009450227
158,0.027192742
159,0.7793763
160,0.031318337
161,0.035267085
162,0.35756952
163,0.050753117
164,0.011148989
165,0.37454703
166,0.02472648
167,0.009938002
168,0.083891004
169,0.1040712
170,0.19995973
171,0.0038334131
172,0.8948826
173,0.07093528
174,0.069693536
175,0.7117528
176,0.094252616
177,0.22316349
178,0.011425465
179,0.18360314
180,0.085148245
181,0.07883307
182,0.01485464
183,0.071397245
184,0.05495417
185,0.041300118
186,0.06557107
187,0.11558291
188,0.0041815042
189,0.19410956
190,0.0011176467
191,0.06993133
192,0.3403659
193,0.06884372
194,0.027437866
195,0.3116398
196,0.118843585
197,0.009037018
198,0.44586742
199,0.00881204
200,0.048944592
201,0.12947842
202,0.0069857836
203,0.73824656
204,0.118671834
205,0.15495586
206,0.001026541
207,0.020272762
208,0.09658727
209,0.03102079
210,0.42916715
211,0.14158058
212,0.020916134
213,0.007300675
214,0.003073901
215,0.63467395
216,0.13737538
217,0.0027448237
218,0.0034031868
219,0.14610219
220,0.06674069
221,0.0061186254
222,0.036341637
223,0.020048738
224,0.013685226
225,0.04151669
226,0.022767574
227,0.06522751
228,0.10009608
229,0.016348034
230,0.02959326
231,0.03787163
232,0.018702865
233,0.010079712
234,0.001196593
235,0.1039843
236,0.025573969
237,0.044381708
238,0.09401229
239,0.02113694
240,0.0064621866
241,0.006779194
242,0.060662627
243,0.00092989206
244,0.006818354
245,0.0014477968
246,0.09791061
247,0.052977175
248,0.016232401
249,0.027342051
250,0.020240486
251,0.047686607
252,0.12718275
253,0.49386287
254,0.01539728
255,0.10893348
256,0.0019084811
257,0.0048800707
258,0.0595949
259,0.062394977
260,0.009654343
261,0.082060516
262,0.04041961
263,0.012045801
264,0.043676555
265,0.051583827
266,0.00024074316
267,0.001738131
268,0.00074616075
269,0.0013190806
270,0.030162692
271,0.011208832
272,0.215188
273,0.2975614
274,0.09551886
275,0.015877515
276,0.017968386
277,0.7027058
278,0.075416476
279,0.061364353
280,0.13726336
281,0.04709831
282,0.000918895
283,0.0064350665
284,0.06241244
285,0.027018785
286,0.21588337
287,0.0009251535
288,0.0556041
289,0.038801283
290,0.041789085
291,0.015744597
292,0.028465897
293,0.019116193
294,0.04105723
295,0.012757421
296,0.0059907734
297,0.011474162
298,0.015845269
